RecipeID,Description,Status,Release,Comments,Approved,Approved By,Recipe Request,Request Single Recipe,Request Recipe Range
103,Mana Mushroom Pie,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
104,Mana Mushroom Stew,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
105,Mana Pizza,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
106,Mana Rabbit Noodle,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
107,Mana Rabbit Pie,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
108,Mana Rabbit Stew,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
109,Raw Noodles,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
110,Chicken Noodle,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
111,Fish Noodle,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
112,Mushroom Noodle,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
113,Rabbit Noodle,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
114,Beef Noodle,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
115,Cheese,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
116,Chicken Kebab,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
117,Fish Kebab,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
118,Mushroom Kebab,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
119,Beef Kebab,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
120,Chicken Rice,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
121,Sushi,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
122,Stuffed Grape Leaf,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
123,Mushroom Rice,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
124,Rabbit Rice,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
125,Beef Rice,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
126,Hearty Mana Apple Pie,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
127,Hearty Apple Pie,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
128,Hearty Healing Apple Pie,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
129,Hearty Mana Beef Noodle,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
130,Hearty Beef Noodle,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
131,Hearty Healing Beef Noodle,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
132,Hearty Mana Beef Stew,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
133,Hearty Beef Stew,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
134,Hearty Healing Beef Stew,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
135,Hearty Mana Cake,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
136,Hearty Cake,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
137,Hearty Healing Cake,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
138,Hearty Mana Chicken Noodle,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
139,Hearty Chicken Noodle,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
140,Hearty Healing Chicken Noodle,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
141,Hearty Mana Chicken Pie,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
142,Hearty Chicken Pie,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
143,Hearty Healing Chicken Pie,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
144,Hearty Mana Chicken Stew,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
145,Hearty Chicken Stew,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
146,Hearty Healing Chicken Stew,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
147,Hearty Mana Fish Noodle,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
148,Hearty Fish Noodle,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
149,Hearty Healing Fish Noodle,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
150,Hearty Mana Fish Pie,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
151,Hearty Fish Pie,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
152,Hearty Healing Fish Pie,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
153,Hearty Mana Fish Stew,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
154,Hearty Fish Stew,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
155,Hearty Healing Fish Stew,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
156,Hearty Mana Meat Pie,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
157,Hearty Meat Pie,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
158,Hearty Healing Meat Pie,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
159,Hearty Mana Mushroom Noodle,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
160,Hearty Mushroom Noodle,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
161,Hearty Healing Mushroom Noodle,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
162,Hearty Mana Mushroom Pie,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
163,Hearty Mushroom Pie,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
164,Hearty Healing Mushroom Pie,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
165,Hearty Mana Mushroom Stew,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
166,Hearty Mushroom Stew,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
167,Hearty Healing Mushroom Stew,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
168,Hearty Mana Pizza,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
169,Hearty Pizza,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
170,Hearty Healing Pizza,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
171,Hearty Mana Rabbit Noodle,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
172,Hearty Rabbit Noodle,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
173,Hearty Healing Rabbit Noodle,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
174,Hearty Mana Rabbit Pie,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
175,Hearty Rabbit Pie,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
176,Hearty Healing Rabbit Pie,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
177,Hearty Mana Rabbit Stew,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
178,Hearty Rabbit Stew,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
179,Hearty Healing Rabbit Stew,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
180,Cinnamon Bark,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
181,Spiced Apple Filling,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
182,Spiced Apple Pie,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
183,Healing Spiced Apple Pie,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
184,Mana Spiced Apple Pie,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
185,Hearty Spiced Apple Pie,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
186,Hearty Healing Spiced Apple Pie,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
187,Hearty Mana Spiced Apple Pie,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
188,Spiced Lump,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
189,Spiced Lumpy Flour,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
190,Rich Lumpy Flour,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
191,Fruitcake Batter,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
192,Fruitcake,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
193,Hot Kimchi,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
194,Healing Hot Kimchi,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
195,Mana Hot Kimchi,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
196,Hearty Hot Kimchi,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
197,Hearty Healing Hot Kimchi,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
198,Hearty Mana Hot Kimchi,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
199,Flaming Kimchi,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
200,Famous Pizza,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
201,Healing Famous Pizza,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
202,Mana Famous Pizza,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
203,Hearty Famous Pizza,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
204,Hearty Healing Famous Pizza,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
205,Hearty Mana Famous Pizza,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
206,Carrot Cake Batter,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
207,Carrot Cake,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
208,Healing Carrot Cake,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
209,Mana Carrot Cake,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
210,Hearty Carrot Cake,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
211,Hearty Healing Carrot Cake,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
212,Hearty Mana Carrot Cake,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
213,Carrot Stock,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
214,Rich Carrot Stock,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
215,Carol's Carrot Soup,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
216,Healing Carrot Soup,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
217,Mana Carrot Soup,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
218,Hearty Carrot Soup,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
219,Hearty Healing Carrot Soup,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
220,Hearty Mana Carrot Soup,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
221,Roasted Beans,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
222,Chocolate Liquor,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
223,Cocoa Powder,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
224,Cocoa Mixture,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
225,Bar of Dark Chocolate,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
226,Milky Cocoa Mixture,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
227,Bar of Milk Chocolate,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
228,Bitter Milk,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
229,Chocolate Milk,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
230,Frozen Cream,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
231,Ice Cream,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
232,Healing Ice Cream,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
233,Mana Ice Cream,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
234,Hearty Ice Cream,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
235,Hearty Healing Ice Cream,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
236,Hearty Mana Ice Cream,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
237,Chocolate Ice Cream,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
238,Frozen Green Tea,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
239,Green Tea Ice Cream,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
240,Healing Green Tea Ice Cream,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
241,Mana Green Tea Ice Cream,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
242,Hearty Green Tea Ice Cream,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
243,Hearty Healing Green Tea Ice Cream,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
244,Hearty Mana Green Tea Ice Cream,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
245,Mocha Base,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
246,Mocha,Finished,Retail,,TRUE,,/recipe-request/,/recipe-single-request/,/recipe-range-request/
